Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,FA,small car,1.0,14,22,17,3,No,531
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,CA,small car,1.0,14,25,18,3,No,497
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,FA,small car,1.0,14,25,18,3,No,497
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,small car,1.0,14,22,17,3,No,531
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,small car,1.0,14,22,17,3,No,531
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,small car,3.0,19,28,22,4,No,399
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,small car,3.0,19,28,22,4,No,399
AUDI RS5,2.9,6,AMS-8,4WD,Gasoline,CA,small car,5.0,18,26,21,4,No,419
AUDI RS5,2.9,6,AMS-8,4WD,Gasoline,FA,small car,5.0,18,26,21,4,No,419
AUDI RS7,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,14,24,17,3,No,512
AUDI RS7,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,14,24,17,3,No,512
AUDI S3,2.0,4,AMS-7,4WD,Gasoline,FA,small car,3.0,22,28,25,5,No,359
AUDI S3,2.0,4,AMS-7,4WD,Gasoline,CA,small car,3.0,22,28,25,5,No,359
AUDI S4,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,21,30,24,5,No,374
AUDI S4,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,21,30,24,5,No,374
AUDI S5,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,21,30,24,5,No,374
AUDI S5,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,21,30,24,5,No,374
AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,20,29,23,5,No,384
AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,20,29,23,5,No,384
AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,CA,midsize car,5.0,21,30,24,5,No,374
AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,FA,midsize car,5.0,21,30,24,5,No,374
AUDI S6,4.0,8,AMS-7,4WD,Gasoline,FA,midsize car,3.0,16,24,18,3,No,480
AUDI S6,4.0,8,AMS-7,4WD,Gasoline,CA,midsize car,3.0,16,24,18,3,No,480
AUDI S7,4.0,8,AMS-7,4WD,Gasoline,FA,midsize car,3.0,16,24,18,3,No,480
AUDI S7,4.0,8,AMS-7,4WD,Gasoline,CA,midsize car,3.0,16,24,18,3,No,480
AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,14,24,18,3,No,503
AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,14,24,18,3,No,503
AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,CA,small SUV,5.0,19,24,21,4,No,434
AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,FA,small SUV,5.0,19,24,21,4,No,434
AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,23,30,26,5,No,336
AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,23,30,26,5,No,336
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,CA,small car,3.0,19,29,22,4,No,395
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,FA,small car,3.0,19,29,22,4,No,395
AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,23,30,26,5,No,336
AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,23,30,26,5,No,336
AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,FA,small car,3.0,23,27,25,5,No,358
AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,CA,small car,3.0,23,27,25,5,No,358
AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,CA,station wagon,5.0,22,30,25,5,No,350
AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,FA,station wagon,5.0,22,30,25,5,No,350
BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,12,19,15,2,No,596
BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,12,19,15,2,No,596
BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,CA,small car,1.0,9,14,11,1,No,840
BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,FA,small car,1.0,9,14,11,1,No,840
BENTLEY Continental GT Convertible,6.0,12,SemiAuto-8,4WD,Gasoline,CA,small car,1.0,12,20,14,1,No,627
BENTLEY Continental GT Convertible,6.0,12,SemiAuto-8,4WD,Gasoline,FA,small car,1.0,12,20,14,1,No,627
BENTLEY Continental Supersports Convt,6.0,12,SemiAuto-8,4WD,Gasoline,CA,small car,1.0,12,20,14,1,No,627
BENTLEY Continental Supersports Convt,6.0,12,SemiAuto-8,4WD,Gasoline,FA,small car,1.0,12,20,14,1,No,627
BENTLEY Flying Spur,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,13,22,16,2,No,568
BENTLEY Flying Spur,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,13,22,16,2,No,568
BENTLEY Flying Spur,6.0,12,SemiAuto-8,4WD,Gasoline,CA,midsize car,1.0,12,20,14,1,No,627
BENTLEY Flying Spur,6.0,12,SemiAuto-8,4WD,Gasoline,FA,midsize car,1.0,12,20,14,1,No,627
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,CA,midsize car,1.0,11,18,14,1,No,652
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,FA,midsize car,1.0,11,18,14,1,No,652
BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No,324
BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No,324
BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,32,25,5,No,360
BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,32,25,5,No,360
BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,35,28,6,No,318
BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,35,28,6,No,318
BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No,333
BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No,333
BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,24,33,27,6,No,325
BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,24,33,27,6,No,325
BMW 320i,2.0,4,Man-6,2WD,Gasoline,FA,small car,3.0,23,35,27,6,No,326
BMW 320i,2.0,4,Man-6,2WD,Gasoline,CA,small car,3.0,23,35,27,6,No,326
BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,24,35,28,6,No,323
BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,24,35,28,6,No,323
BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,23,34,27,6,No,332
BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,23,34,27,6,No,332
BMW 328d,2.0,4,SemiAuto-8,2WD,Diesel,FA,small car,3.0,31,43,36,7,Yes,285
BMW 328d,2.0,4,SemiAuto-8,2WD,Diesel,CA,small car,3.0,31,43,36,7,Yes,285
BMW 328d,2.0,4,SemiAuto-8,4WD,Diesel,FA,small car,3.0,30,40,34,6,No,303
BMW 328d,2.0,4,SemiAuto-8,4WD,Diesel,CA,small car,3.0,30,40,34,6,No,303
BMW 328d Sports Wagon,2.0,4,SemiAuto-8,4WD,Diesel,FA,station wagon,3.0,30,40,34,6,No,303
BMW 328d Sports Wagon,2.0,4,SemiAuto-8,4WD,Diesel,CA,station wagon,3.0,30,40,34,6,No,303
BMW 330i,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,32,25,5,No,360
BMW 330i,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,32,25,5,No,360
BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No,324
BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No,324
